course_title,course_id,url,,,,,,,,,subject
Computer Fundamentals,1,computer-fundamentals,,,,,,,,,
Computer Basics,2,computer-basics,,,,,,,,,
Computer Hardware and Software,3,computer-hardware-and-software,,,,,,,,,
Operating System,4,operating-system,,,,,,,,,
Microsoft Word,5,microsoft-word,,,,,,,,,
Microsoft Excel,6,microsoft-excel,,,,,,,,,
Number System,7,number-system,,,,,,,,,
Program Design Tools: Algorithm and Flowchart,8,program-design-tools-algorithm-and-flowchart,,,,,,,,,
Programming Language,9,programming-language,,,,,,,,,
Introduction to Programming,10,introduction-to-programming,,,,,,,,,
Number System: Binary Number System,11,number-system-binary-number-system,,,,,,,,,
Number System: Decimal Number System,12,number-system-decimal-number-system,,,,,,,,,
Number System: Hexadecimal Number System,13,number-system-hexadecimal-number-system,,,,,,,,,
Combinational Logic Design,14,combinational-logic-design,,,,,,,,,
Counters and Registers,15,counters-and-registers,,,,,,,,,
Sequential Logic Design,16,sequential-logic-design,,,,,,,,,
"Relation, Functions and Graphs",17,relation-functions-and-graphs,,,,,,,,,
Set Theory and Real & Complex Number,18,set-theory-and-real-complex-number,,,,,,,,,
Sequence and Series,19,sequence-and-series,,,,,,,,,
Matrices and Determinants,20,matrices-and-determinants,,,,,,,,,
Analytical Geometry,21,analytical-geometry,,,,,,,,,
Permutation and Combination,22,permutation-and-combination,,,,,,,,,
